ngram	w1	w2	w3	w4	n
waktu_dekat_sudah_bisa	waktu	dekat	sudah	bisa	5
waktu_dua_minggu_untuk	waktu	dua	minggu	untuk	5
waktu_dua_sampai_tiga	waktu	dua	sampai	tiga	5
waktu_dua_tahun_terakhir	waktu	dua	tahun	terakhir	5
waktu_dua_tahun_untuk	waktu	dua	tahun	untuk	5
waktu_enam_menit_detik	waktu	enam	menit	detik	5
waktu_itu_belum_ada	waktu	itu	belum	ada	5
waktu_lalu_kami_telah	waktu	lalu	kami	telah	5
waktu_paling_lama_hari	waktu	paling	lama	hari	5
waktu_satu_jam_menit	waktu	satu	jam	menit	5
waktu_satu_tahun_ini	waktu	satu	tahun	ini	5
waktu_sekitar_menit_untuk	waktu	sekitar	menit	untuk	5
waktu_sekitar_satu_bulan	waktu	sekitar	satu	bulan	5
waktu_sekitar_tiga_bulan	waktu	sekitar	tiga	bulan	5
waktu_tidak_lebih_dari	waktu	tidak	lebih	dari	5
waktu_yang_baik_untuk	waktu	yang	baik	untuk	5
waktu_yang_ditentukan_maka	waktu	yang	ditentukan	maka	5
waktu_yang_paling_tepat	waktu	yang	paling	tepat	5
waktu_yang_singkat_untuk	waktu	yang	singkat	untuk	5
yang_memakan_waktu_hingga	yang	memakan	waktu	hingga	5
